INFRA_ID,NAME,LINK,AI_TYPE,ORGANIZATION_MATURITY,PARENT_ORGANIZATION,TASKS,INFERENCE_LOCATION,MODEL_PRIVATE_OR_PUBLIC,POTENTIAL_FOR_IP,REASON_FOR_IP,DESCRIPTION,SOFTWARE_TYPE,EXPECTED_INPUT,GENERATED_OUTPUT,EULA_LINK,FOUNDATIONAL_MODEL,BUSINESS_MODEL,LEGAL_CASE_PENDING,HAS_API,YEAR_COMPANY_FOUNDED,YEAR_LAUNCHED,FUNDING,FUNDING_DEF
db23aafa-fe66-4622-ae04-0feecae71648,Firefly,https://www.adobe.com/,GenAI and ML,Mature,Adobe,"Create Visual Style, Previsualize Production, Create Visual Effects",Cloud,Private,TBD,AI-generated assets may involve proprietary models and unclear ownership policies.,Adobe's AI tool for generating creative assets like images and text effects directly from prompts.,Cloud Software,"3D, Image, Text, Video","Image, Text",https://www.adobe.com/legal/licenses-terms/adobe-gen-ai-user-guidelines.html,Multimodal,Subscription,NO,YES,1982,2023,Public,"Companies that list their shares on a public stock exchange, allowing anyone to invest and trade shares. This category reflects organizations that have completed an IPO or are otherwise publicly traded."
4d5d0212-c8dd-43dd-b19a-5ffd48148c48,LTX Studio,https://www.lightricks.com/,GenAI,Startup,Lightricks,"Develop Creative Style, Previsualize, Shoot",Cloud,Open Source,TBD,Real-time DiT-based generation,Generates video,Desktop Software,"Image, Text",Video,https://static.lightricks.com/legal/terms-of-use.html,Proprietary,Subscription (Freemium),NO,NO,1923,1975,Self,"Companies financed primarily by the foundersâ€™ own money or by reinvesting profits, without outside investors. Often called bootstrapping, this approach allows complete control and avoids dilution of ownership."
b142541a-9474-46b6-83c7-de3d9f20ae83,Soundraw,https://soundraw.io/,GenAI,Startup,SOUNDRAW Inc.,"Create Sound, Create Music, Mix Audio",Cloud,Private,TBD,AI-generated music may involve unclear ownership due to proprietary models.,An AI music generator for creating customizable royalty-free music tracks.,Cloud Software,"Audio, Text",Audio,https://soundraw.io/license,Proprietary,Subscription (Freemium),NO,NO,2020,2020,Seed,"The earliest stage of external funding that supports product development, market research, and initial growth. This includes Angel funding, Pre-Seed, Series A/B/C rounds, and early-stage venture capital."
7a679cd5-2380-4f0b-b358-81234fda27d2,EditingTools.io,https://editingtools.io/,GenAI,Growth,EditingTools.io,"Conform Finish, Edit, Translation",Cloud,Private,TBD,"Offers a broad suite of production-ready AI utilities with batch processing, plugin integration, and secure automation for post pipelines.","All-in-one post-production platform with dozens of AI and helper tools for editors including subtitle translation, voice cleanup, AI colorization, and file conversion.",Cloud Software,"Audio, Image, Text, Video",Text,https://editingtools.io/support,Proprietary,Subscription/License,NO,NO,2020,2020,Self,"Companies financed primarily by the foundersâ€™ own money or by reinvesting profits, without outside investors. Often called bootstrapping, this approach allows complete control and avoids dilution of ownership."
38121c04-192b-47f5-bf0d-37912b67d6fe,Autodesk 3ds Max,https://www.autodesk.com/,ML,Mature,Autodesk,"Create Visual Style, Previsualize Production, Create Visual Effects, Build Sets",Local,Private,LOW,"3D models and assets are user-created, granting full ownership to the creator.","A 3D modeling and rendering software used in architecture, games, and visual effects.",Desktop Software,"3D, Text",3D,https://www.autodesk.com/company/terms-of-use/en/general-terms,Proprietary,Subscription,YES,YES,2020,1996,Public,"Companies that list their shares on a public stock exchange, allowing anyone to invest and trade shares. This category reflects organizations that have completed an IPO or are otherwise publicly traded."
3f4ef420-18cf-41e0-b83f-ff770d527473,Google Cloud Platform,https://cloud.google.com/,GenAI and ML,Mature,Google,Base libraries and infrastructure,Cloud,Private,TBD,"User-generated data and outputs are owned by the user, as GCP provides the infrastructure.","A suite of cloud computing services offering solutions for AI, data storage, analytics, and more.",Cloud Software,"Audio, Image, Text, Video","Audio, Image, Text, Video",https://cloud.google.com/terms,Multimodal,Subscription,YES,YES,1998,2008,Public,"Companies that list their shares on a public stock exchange, allowing anyone to invest and trade shares. This category reflects organizations that have completed an IPO or are otherwise publicly traded."
673c1fc1-afd0-4916-b391-25cbd21f1dc7,Fal,https://fal.ai/,GenAI,Startup,Fal (FAL.AI),"Create Visual Style, Shoot, Previsualize Production, Create Visual Effects",Cloud,Private,TBD,Creates generative art and visual designs from prompts.,Creative tool for generating AI art and visuals from prompts.,Cloud Software,"Audio, Text","Audio, Video",https://fal.ai/terms,Diffusion,Subscription/License (B2B),NO,YES,2022,2021,Seed,"The earliest stage of external funding that supports product development, market research, and initial growth. This includes Angel funding, Pre-Seed, Series A/B/C rounds, and early-stage venture capital."
942f57be-3eac-4a0a-a1d0-6a34448b1831,Lalaland.ai,https://lalaland.ai/,GenAI,Startup,Lalaland B.V.,"Create Visual Style, Previsualize Production",Cloud,Private,TBD,"AI-generated models use proprietary algorithms, leading to unclear ownership.",An AI platform for generating hyper-realistic fashion models and virtual content.,Cloud Software,"Image, Text",Image,https://lalaland.ai/privacy-policy,Proprietary,Subscription/License (B2B),NO,YES,2019,2019,Alternative,"Non-traditional financing sources beyond typical venture capital or personal funds. Includes private equity, grants, crowdfunding, debt financing, and convertible notes. Often used to supplement or replace early venture funding."
08e01eb5-14c5-4b28-a833-139f43d14e22,NVIDIA Audio2Face,https://www.nvidia.com/en-us/omniverse/,GenAI and ML,Mature,Nvidia,Create Visual Effects,Local,Private,TBD,User-generated facial animations based on audio input are fully owned.,AI software for generating facial animations from audio input in real time.,Desktop Software,"3D, Audio",3D,https://build.nvidia.com/nvidia/audio2face-3d/modelcard,Proprietary,Free/License,YES,YES,1993,2021,Public,"Companies that list their shares on a public stock exchange, allowing anyone to invest and trade shares. This category reflects organizations that have completed an IPO or are otherwise publicly traded."
6fe71439-3fde-41fa-b641-bc33922126f5,Altered Studio,https://www.altered.ai/altered-studio/,GenAI,Startup,Altered Ltd,"Create Sound, Create Music, Mix Audio",Cloud,Private,TBD,"AI-modified voice outputs may involve proprietary models, leading to unclear IP ownership.",A voice editing and transformation tool using AI to create natural-sounding voiceovers and effects.,Desktop Software,"Audio, Text",Audio,https://www.altered.ai/terms-of-service,Proprietary,Subscription (Freemium),NO,YES,2018,2018,Seed,"The earliest stage of external funding that supports product development, market research, and initial growth. This includes Angel funding, Pre-Seed, Series A/B/C rounds, and early-stage venture capital."
1096a0cd-c537-49b3-a3b1-415441fef19c,Replica Studios,https://www.replicastudios.com/,GenAI,Mid,Replica Studios,"Create Sound, Create Music, Mix Audio",Cloud,Private,TBD,Generates original character voices using AI-based voice synthesis.,AI voice generation platform for creating character dialogue and narration.,Cloud Software,Text,Audio,https://www.sagaftra.org/sites/default/files/sa_documents/Replica%20Studios%20Agreement%20FAQs.pdf,Proprietary,Subscription (Freemium),NO,YES,2018,2018,Seed,"The earliest stage of external funding that supports product development, market research, and initial growth. This includes Angel funding, Pre-Seed, Series A/B/C rounds, and early-stage venture capital."
170b75b7-41b6-4546-8017-33eebb97edf1,Kling,https://kling-ai.pro/,GenAI,Startup,Kuaishou,Previsualize,Cloud,Private,TBD,Combines deep generative models for text/image-to-video translation with cinematic style transfer capabilities.,Browser-based tool for creating cinematic video sequences from prompts or still images using AI animation models.,Cloud Software,"Image, Text",Video,https://app.klingai.com/global/docs/payment-policy,Diffusion,Subscription/License,NO,YES,2022,2022,Self,"Companies financed primarily by the foundersâ€™ own money or by reinvesting profits, without outside investors. Often called bootstrapping, this approach allows complete control and avoids dilution of ownership."
ad19db28-fd7e-4ac7-b71c-e384b2587178,Stable Diffusion XL,https://stablediffusionxl.com/,GenAI,Startup,Stability AI,Previsualize,Cloud,Open Source,TBD,Based on LAION; artist training content; supports fine-tuning,"High-fidelity diffusion model; photo-realistic outputs, inpainting/outpainting, legible text, and stable anatomy",Cloud Software,"Image, Text",Image,https://stability.ai/terms-of-use,Diffusion,Free/License,YES,YES,2020,2023,Self,"Companies financed primarily by the foundersâ€™ own money or by reinvesting profits, without outside investors. Often called bootstrapping, this approach allows complete control and avoids dilution of ownership."
9d76bab9-3579-4d9f-bf6e-743c7ff867ca,Dzine,https://www.dzine.ai/,GenAI,Startup,Seekoo LLC,"Create Visual Style, Previsualize Production, Create Visual Effects",Cloud,Private,TBD,AI-driven graphic designs may involve pre-existing templates or unclear ownership.,"An AI-driven platform for graphic design and layout creation, focusing on branding and marketing.",Cloud Software,"Image, Text",Image,https://www.dzine.ai/terms/,Diffusion,Subscription (Freemium),NO,NO,2023,2025,Self,"Companies financed primarily by the foundersâ€™ own money or by reinvesting profits, without outside investors. Often called bootstrapping, this approach allows complete control and avoids dilution of ownership."
